노선번호,총운행횟수,첫차,막차,구분
1162,72,500,2340,2
1164,180,500,2340,2
2115,72,400,2240,2
6513,99,430,2230,2
6613,63,430,2250,2
6614,70,430,2240,2
6616,88,430,2310,2
6638,72,430,2300,2
6640A,88,430,2310,2
6640B,88,430,2310,2
6716,90,430,2220,2
3214,90,440,2320,2
3314,149,450,2330,2
3315,189,440,2330,2
3316,108,450,2330,2
3317,143,430,2330,2
3318,35,430,2310,2
3321,18,430,2340,2
3416,90,440,2330,2
370,35,400,2250,2
604,92,400,2300,2
606,71,400,2300,2
652,108,400,2300,2
653,32,430,2320,2
661,54,430,2330,2
673,65,430,2300,2
674,44,420,2300,2
5012,83,430,2240,2
5528,113,430,2250,2
571,92,430,2240,2
740,113,400,2240,2
750A,73,400,2310,2
7711,68,430,2400,2
7726,60,500,2400,2
7727,103,430,2300,2
8777,18,1000,2000,2
2221,134,430,2315,2
2222,95,430,2330,2
2415,125,430,2320,2
3216,96,430,2250,2
3220,88,430,2245,2
3414,95,430,2300,2
1127,88,500,2310,2
1128,83,430,2250,2
141,138,400,2240,2
142,134,400,2245,2
5625,108,400,2240,2
5626,105,405,2230,2
5713,90,400,2220,2
109,101,427,2320,2
1166,54,445,2330,2
120,162,425,2310,2
650,101,400,2300,2
653,32,430,2320,2
662,88,400,2310,2
6628,169,420,2330,2
6630,55,420,2250,2
5524,125,400,2230,2
602,126,420,2250,2
6516,61,400,2200,2
6623,83,410,2300,2
6627,64,430,2310,2
6649,69,550,2350,2
6654,78,500,2330,2
6714,64,430,2300,2
N16온수,4,20,140,2
4319,20,420,2300,2
441,102,420,2220,2
502,106,510,10,2
540,124,510,30,2
541,72,440,0,2
5530,115,440,2250,2
4212,162,400,2300,2
4318방배,80,430,2230,2
4318풍납,65,420,2230,2
4319,90,420,2300,2
N15사당,4,2400,130,2
7024,60,530,2310,2
7737,88,505,2310,2
7738,110,500,2320,2
7739,67,500,2320,2
7011,102,430,2310,2
7013A,39,430,2307,2
7013B,39,446,2310,2
7016,115,430,2230,2
750B,78,400,2310,2
4433,105,540,2320,2
6642,79,440,2230,2
6645,79,440,2230,2
6647,106,500,2300,2
704,86,400,2230,2
720,138,400,2310,2
7211,107,410,2300,2
773,58,430,30,2
8772,44,800,1800,2
9714,22,500,100,2
N37진관,4,0,115,2
603,96,430,2310,2
6211,97,420,2240,2
640,91,420,2250,2
641,130,410,2240,2
6624,118,500,2340,2
6625,73,430,2300,2
6715,111,440,2330,2
1132,154,430,2350,2
1135,96,430,2340,2
1136,90,500,0,2
1222,99,400,2310,2
147,150,400,2240,2
3011,33,420,2250,2
3319,64,430,2330,2
3417,144,430,2330,2
3422,61,430,2220,2
402,120,400,2230,2
461,93,400,2210,2
1155,95,430,2300,2
1156,72,440,2320,2
202,133,400,2200,2
2014,96,430,2340,2
2224,108,430,2340,2
2412,88,410,2250,2
2413,83,410,2310,2
362,108,400,2230,2
6411,98,400,2240,2
6511,72,410,2310,2
6611,63,500,0,2
140,132,400,2250,2
360,148,400,2250,2
471,148,400,2250,2
701,102,400,2300,2
N13송파,4,0,120,2
N37송파,4,0,115,2
501,120,430,2230,2
506,88,430,2230,2
5511,123,530,2330,2
5513,117,530,2330,2
5515,112,530,2330,2
5516,110,500,2300,2
5517,78,430,2230,2
5522B,30,500,2330,2
5616,80,420,2220,2
5712,120,430,2230,2
3012,20,400,2230,2
3217,103,430,2315,2
3313,126,440,2340,2
3322,112,400,2320,2
350,96,400,2230,2
100,109,400,2240,2
1017,76,430,2320,2
1120,74,500,2340,2
1140,26,500,0,2
1143,9,500,2330,2
1144,82,430,2300,2
1154,90,430,2320,2
1227,99,430,2320,2
172,115,400,2300,2
101,24,400,2300,2
1111,56,420,2320,2
1115,54,530,0,2
1124,105,500,2400,2
1218,99,410,2250,2
145,126,400,2240,2
148,126,400,2240,2
504,154,355,2240,2
5535,91,430,2310,2
5536,124,430,2320,2
6635,84,430,2350,2
7019,114,430,2255,2
7611,84,410,2240,2
7612,146,433,2340,2
7713,68,500,2330,2
102,112,400,2310,2
105,95,400,2240,2
1131,52,500,2350,2
1138,55,430,2340,2
1139,96,430,2340,2
1141,52,500,2350,2
1142,192,500,0,2
1143,36,500,2330,2
1221,54,430,2330,2
1224,78,430,2330,2
1226,24,430,2240,2
146,114,405,2320,2
N13상계,4,0,325,2
1213,51,440,2240,3
2013,78,420,2250,3
271,130,420,2240,3
N62면목,4,2340,110,3
605,105,400,2240,3
6631,117,420,2250,3
6632,77,430,2300,3
N65개화,4,0,120,3
5515,60,530,2330,3
5519,68,600,2325,3
643,119,430,2240,3
6515,96,410,2210,3
N61양천,5,2340,410,3
500,39,400,2300,3
5531,151,420,2300,3
5623,138,400,2240,3
651,110,400,2240,3
654,70,400,2230,3
6629,99,430,2250,3
6648,70,430,2330,3
6712,68,430,2250,3
672,74,430,2300,3
3012,44,400,2230,3
320,114,400,2300,3
3425,8,400,2230,3
4419,86,400,2300,3
452,111,400,2330,3
9401,63,430,2300,3
9404,126,400,2330,3
9408,64,400,2230,3
270,110,400,2230,3
470,108,400,2240,3
601,102,400,2310,3
710,96,350,2240,3
N26강서,4,0,130,3
333,94,400,2300,3
407,67,400,2300,3
440,111,355,2255,3
2015,90,430,2310,3
2016,65,400,2215,3
240,85,400,2300,3
241,86,400,2300,3
242,68,430,2300,3
106,90,400,2300,3
107,88,400,2220,3
108,76,400,0,3
201,63,400,2400,3
2312B,36,430,2250,3
341,65,430,2330,3
370,130,400,2250,3
542,44,420,2300,3
5624,39,410,2300,3
1014,117,500,2340,3
1020,121,430,2320,3
110A,90,400,2240,3
110B,90,405,2245,3
1113,64,510,2340,3
1114,94,500,2350,3
1162,114,500,2340,3
143,120,400,2210,3
