노선번호,총운행횟수,첫차,막차,구분
N62면목,4,2340,0110,1
N62양천,4,2340,0110,1
N65개화,4,0000,0120,1
N65시흥,4,0000,0120,1
1213,51,0440,2240,2
2013,78,0420,2250,2
271,143,0420,2240,2
N62면목,4,2340,0110,2
605,125,0400,2240,2
6631,130,0420,2250,2
6632,98,0430,2300,2
N65개화,4,0000,0120,2
5515,68,0530,2330,2
5519,68,0600,2325,2
643,130,0430,2240,2
6515,114,0410,2210,2
8541,3,0400,0440,2
N61양천,5,2340,0410,2
500,55,0400,2300,2
5531,166,0420,2300,2
5623,148,0400,2240,2
651,118,0400,2240,2
654,73,0400,2230,2
6629,107,0430,2250,2
6648,74,0430,2330,2
6712,73,0430,2250,2
672,77,0430,2300,2
3012,48,0400,2230,2
320,126,0400,2300,2
3425,16,0400,2230,2
4419,113,0400,2300,2
452,127,0400,2330,2
9401,66,0430,2300,2
9404,154,0400,2330,2
9408,76,0400,2230,2
270,121,0400,2230,2
470,118,0400,2240,2
601,121,0400,2310,2
710,96,0350,2240,2
N26강서,4,0000,0130,2
333,99,0400,2300,2
407,86,0400,2300,2
440,111,0355,2255,2
2015,138,0430,2310,2
2016,68,0400,2215,2
240,85,0400,2300,2
241,117,0400,2300,2
242,77,0430,2300,2
106,100,0400,2300,2
107,108,0400,2220,2
108,80,0400,0000,2
201,76,0400,2400,2
2312B,36,0430,2250,2
341,80,0430,2330,2
370,145,0400,2250,2
542,52,0420,2300,2
5624,50,0410,2300,2
1014,117,0500,2340,2
1020,132,0430,2320,2
110A,108,0400,2240,2
110B,108,0405,2245,2
1113,64,0510,2340,2
1114,94,0500,2350,2
1162,108,0500,2340,2
143,160,0400,2210,2
162,132,0400,2250,2
4211,93,0355,2300,2
463,94,0400,2215,2
406,78,0420,2320,2
420,163,0410,2310,2
4412,111,0430,2250,2
4432,124,0400,2320,2
4435,72,0420,2330,2
472,157,0410,2320,2
1213,51,0440,2240,2
171,125,0400,2300,2
1711,142,0430,2300,2
6514,86,0400,2200,2
6617,80,0500,2330,2
6620,63,0530,2330,2
6657,53,0500,2300,2
N62양천,4,2340,0110,2
3012,36,0400,2230,2
302,96,0400,2245,2
303,160,0400,2220,2
3425,76,0400,2230,2
9401,186,0430,2300,2
9403,96,0500,2400,2
101,96,0400,2300,2
1115,18,0530,0000,2
1165,126,0430,2330,2
121,108,0400,2230,2
151,150,0400,2250,2
152,158,0400,2220,2
153,131,0400,2220,2
8111,0,0640,1700,2
N15우이,4,2400,0130,2
700,99,0430,0020,2
707,85,0430,0020,2
771,45,0430,2350,2
7728,87,0400,2200,2
2016,19,0400,2215,2
2227,76,0450,2320,2
260,120,0355,2240,2
262,24,0400,2215,2
273,131,0410,2230,2
N26중랑,4,0000,0130,2
505,102,0410,2230,2
5413,139,0420,2310,2
5525,60,0450,2320,2
5537,77,0430,2330,2
5617,126,0450,2350,2
5619,105,0430,2330,2
5620,129,0430,2310,2
5621,159,0520,2350,2
5627,72,0430,2330,2
5633,76,0420,2250,2
6637,145,0430,2310,2
8551,0,0000,0000,2
N65시흥,4,0000,0120,2
0017,98,0515,2330,2
674,32,0420,2300,2
